unit	class	families	line
vayupurana_01_frame-and-cosmogony_iast	ppl	kirfel,kurmapurana	ekatvaṃ ca pṛthaktvaṃ ca viśeṣatvaṃ ca kīrtyate
vayupurana_01_frame-and-cosmogony_iast	vayubd	vayu	marutprasādo marutāṃ dityā devāṃśasambhavāḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	kīrttyante marutāñcātha gaṇāste saptasaptakāḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana	devatvaṃ pitṛvākyena vāyuskandhena cāśrayaḥ
vayupurana_01_frame-and-cosmogony_iast	ppl	bhavisyapurana,brahmandapurana,brahmapurana,harivamsa,kirfel,kurmapurana,lingapurana,mahabharata,markandeyapurana,matsyapurana,padmapurana,ramayana,sivapurana,skandamahapurana,skandapurana,vayu,visnudharmottarapurana,visnupurana	daityānāṃ dānavānāñca gandharvoragarakṣasām
vayupurana_01_frame-and-cosmogony_iast	ppl	brahmandapurana,kirfel,vayu	sarvabhūtapiśācānāṃ paśūnāṃ pakṣivīrudhām
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	bhṛgūṇāṃ vistaraścoktastathā cāṅgirasāmapi
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	parāśarasya ca muneḥ prajānāṃ yatra vistaraḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	vayu	devatānāmṛṣīṇāñca prajotpattistataḥ param
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,mahabharata,vayu	tisraḥ kanyāḥ prakīrttyante yāsu lokāḥ pratiṣṭitāḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	bṛhadbalāntasaṃkṣepādikṣvākvādyāḥ prakīrttitāḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	nimyādīnāṃ kṣitīśānāṃ yāvajjahugaṇāditi
vayupurana_01_frame-and-cosmogony_iast	vayubd	vayu	kroṣṭoranantaraṃ coktastathā vaṃśasya vistaraḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	jyāmaghasya ca māhātmyaṃ prajāsargaśca kīrttyate
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	devāvṛdhasya tvarkasya vṛṣṭeścaiva mahātmanaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	vayu	atrimitrānvayaścaiva viṣṇorddivyābhiśaṃsanam
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	punaśca janma cāpyuktaṃ caritañca mahātmanaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana	vāsudevasya devakyāṃ viṣṇorjjanma prajāpateḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana	viṣṇoranantarañcāpi prajāsargopavarṇanam
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	daivāsure samutpanne viṣṇunā strīvadhe kṛte
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	saṃrakṣatā śakravadhaṃ śāpaḥ prāptaḥ purā bhṛgoḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	bhṛguścotthāpayāmāsa divyāṃ śukrasya mātaram
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,brahmapurana,vayu	devānāmasurāṇāṃ ca saṃgrāmā dvādaśāyutāḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	nārasiṃhaprabhṛtayaḥ kīrttyante prāṇanāśanāḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	śukreṇārādhanaṃ sthāṇordhīreṇa tapasā kṛtam
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	anantaraṃ vinirdiṣṭaṃ devāsuraviceṣṭitam
